2024/01/21 12:15:05 socat[58332] E connect(5, AF=2 10.103.191.230:31807, 16): Connection timed out
2024/01/21 12:15:05 socat[58333] E connect(5, AF=2 10.103.191.230:31807, 16): Connection timed out
2024/01/21 12:16:51 socat[59396] E connect(5, AF=2 10.103.191.230:31807, 16): Connection timed out
2024/01/21 12:16:51 socat[59395] E connect(5, AF=2 10.103.191.230:31807, 16): Connection timed out
2024/01/21 12:17:02 socat[59669] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:17:02 socat[59668] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:17:12 socat[59699] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:17:32 socat[59746] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:18:46 socat[62192] E bind(5, {AF=2 0.0.0.0:8080}, 16): Address already in use
2024/01/21 12:18:54 socat[60818] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:18:54 socat[60817] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:21:05 socat[62228] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:21:05 socat[62229] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:21:16 socat[62249] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:21:16 socat[62250] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:23:27 socat[63612] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:23:27 socat[63611] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:25:42 socat[65008] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:25:42 socat[65007] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:28:16 socat[66671] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:28:16 socat[66672] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:28:36 socat[66976] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:28:36 socat[66975] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:29:42 socat[67427] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:29:42 socat[67428] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:30:49 socat[68372] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:30:49 socat[68373] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:32:54 socat[69466] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:32:54 socat[69465] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:35:05 socat[70594] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:35:05 socat[70593] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:37:20 socat[71956] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:37:20 socat[71957] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:40:00 socat[73468] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:40:00 socat[73469] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:43:11 socat[75557] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:43:11 socat[75556] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:50:21 socat[79959] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:50:21 socat[79958] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:59:34 socat[85464] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
2024/01/21 12:59:34 socat[85463] E connect(5, AF=2 10.98.148.39:31807, 16): Connection timed out
